Company Name,Headcount,Employee Size,Industry,Product and Services,Description,SEO Description,Website,LinkedIn,X (Twitter),Facebook,Instagram,Company Type,Number of Locations,Primary Company Phone,Founding Year,Annual Revenue,Total Funding,Last Funding Type,Last Funding Amount,Last Funding Date,AI Ark Account ID,Company Store?,Store URL,Signal
The Heico Companies LLC,4381,5001-10000,venture capital and private equity principals,"manufacturing, construction, industrial services, metal processing, engineered components, speciality equipment, acquisitions, wbenc","Heico has a long history of success. Since its founding over 40 years ago, The Heico Companies L.L.C. has grown from a single business to over 74 separate companies through a strategic acquisition policy, and by reinvesting its earnings into internal growth and new prospects. Historically talented at restoring distressed companies, Heico now also targets acquisitions that will complement its ever-growing portfolio of companies in manufacturing, construction, and industrial services.

These four core operations are organized into platforms: Metal Processing Group, Industrial Technologies Group, Construction Solutions Group, and Applied Solutions Group. Once acquired, new Heico companies are assigned to a platform and run on a stand-alone basis, allowing for great independence as well as the opportunity to share knowledge about markets, production processes, and management practices across other Heico platforms and companies.

Heico continues to seek out new opportunities and maintain its standard of success. The Heico Companies L.L.C has remained a privately held company since its creation and maintains a majority ownership in each of its operations, which generate more than two billion dollars in revenues.",,heicocompanies.com,https://www.linkedin.com/company/the-heico-companies-llc,,,,PRIVATELY_HELD,0,+31 24198220,1979,100000000-499999999,,,,,302f6d14-ae35-cb7f-27e2-5dac15ce9ffb,No,,no separate store detected
C&W Services,4359,10001+,facilities services,"maintenance, critical environments, janitorial, grounds & landscaping, moving, office & mailroom, operations & maintenance, preventive maintenance, predictive maintenance, energy management, cleaning, green cleaning, internet of things, iot, safety, energy use, fluid management, badging, automation","Raising the Value of Facilities Services. 

C&W Services is a leading integrated facility services provider that helps clients drive down facility operating expenses, increase facility efficiency and uptime, make strategic business decisions, and create a positive occupant experience.

We are raising the value of the facilities industry by: 

Developing a broad range of services that help keep your facilities clean, productive, safe and efficient.

Empowering our people through a culture of diversity, opportunity, and recognition, because we believe a team that is prepared and full of pride in their work makes a bigger impact, and takes greater initiative for our clients. 

Redefining the status quo. We find new ways to innovate, enhance and create value that challenges established ways of thinking about facilities services.",We are proud to lead the facility services industry in preventive and predictive maintenance programs for clients across North America.,cwservices.com,https://www.linkedin.com/company/c&w-services,,https://www.facebook.com/raisingthevalue,,PRIVATELY_HELD,0,,1950,100000000-499999999,,,,,4699242b-004e-9f0e-17f0-4b64bf881bbe,No,,no separate store detected
Bobcat Company,4344,1001-5000,machinery manufacturing,"skid-steer loaders, compact excavators, robotics, manufacturing, lean six sigma (lss), compact track loaders, mini track loaders, telehandlers, compact tractors, utility vehicles, toolcat™ utility work machines, attachments, engineering, innovation, compact tractors","Bobcat Company is a leading provider of compact equipment for global construction, rental, landscaping, agriculture, grounds maintenance, acreage management, government, utility, industrial and mining markets. We strive to empower our customers to do their jobs more efficiently and effectively. We’re North Dakota’s largest manufacturer, with the most extensive compact equipment distribution network in the world.","Bobcat brings industry-leading toughness to turf with a large family of rugged, zero-turn mowers - including ride-on, stand-on and commercial walk-behind mowers.",bobcat.com,https://www.linkedin.com/company/bobcat-company,https://x.com/bobcatcompany,https://www.facebook.com/BobcatAPLA,,PUBLIC_COMPANY,0,,1947,100000000-499999999,,,,,8fc3cc46-d56a-7f1b-2cc4-a122786ffa12,No,,no separate store detected
"Steel Dynamics, Inc",4280,10001+,manufacturing,"steelmaking, steel finishing, fabrication, ferrous and non-ferrous scrap collection and processing, iron making","Steel Dynamics is one of the largest domestic steel producers and metals recyclers in the United States, based on estimated annual steelmaking and metals recycling capability, with facilities located throughout the United States, and in Mexico. Steel Dynamics produces steel products, including hot roll, cold roll, and coated sheet steel, structural steel beams and shapes, rail, engineered special-bar-quality steel, cold finished steel, merchant bar products, specialty steel sections and steel joists and deck. In addition, the company produces liquid pig iron and processes and sells ferrous and nonferrous scrap.","Long Products Steel supplies beams and shapes, rail, engineered special bar-quality steel, cold finished steel, merchant bar products, and specialty steel.",steeldynamics.com,https://www.linkedin.com/company/steel-dynamics-inc,,https://www.facebook.com/pages/Steel-Dynamics-Inc/160178960708250,,PUBLIC_COMPANY,0,,1993,100000000-499999999,2400000000,POST_IPO_DEBT,1000000000,2025-03-12,e4d9b0db-b1e7-2b28-05e8-3a9ca95c2dc3,No,,no separate store detected
Pinnacle Infotech,4241,5001-10000,it services and it consulting,"bim modeling, 3d mep co-ordination, cad drafting and document management., revit / navisworks / mep detailing, shop fabrication drawings, 3d bim engineering, home builders  , structural engineer, architect, general contractor, concrete contractor, mechanical contractor, bim vr 360 construction, 4d construction simulation, cad drafting services, bim engineering services, 3d visualization, redline markups, digital prefabrication, marketing bim presentation, bim engineering services, hvac, revit family","At Pinnacle Infotech, we “Construct Certainty with Technology.”

We are the global leader in providing innovative end-to-end digital construction, design engineering, and BIM solutions to Architecture, Engineering, and Construction (AEC) firms worldwide, enabling our clients to control their construction projects completely. Our work spans the entire BIM spectrum, from 3D to 7D to facilitate project coordination, collaboration, asset management, cost, and resource optimization.

We have 5200+ employees in 15 global delivery centers worldwide to ensure quick turnarounds on complex projects. As a result, Pinnacle has successfully executed over 18000+ BIM projects for 2600+ satisfied clients in 47+ countries across 6 continents. Our portfolio includes projects such as Airports, Manufacturing Units, Data Centers, Hospitals, Stadiums, High-Rise Towers, and more.

Our process orientation & quality control are as per ISO 19650-5, ISO 9001:2015, and ISO 14001:2015 standards.","Discover the power of BIM solutions with Pinnacle Infotech, a leading BIM company. Transform your construction projects with BIM excellence.",pinnacleinfotech.com,https://www.linkedin.com/company/pinnacle-infotech,https://x.com/pinnacle_aec,https://www.facebook.com/pinnacle.infotech.aec,,PRIVATELY_HELD,0,+1 713 780 2135,1991,500000000-999999999,,,,,7ebe480c-e003-a272-f861-b64596359e9a,No,,no separate store detected
Gilbane Building,4241,1001-5000,construction,"civic & cultural, food & beverage, fueling facilities, commercial, healthcare, criminal justice, historic restoration, environmental, k12 education ; college & university, federal, science & technology, mission critical, sports, transportation","Gilbane Building Company provides a full slate of construction and facilities-related services—from preconstruction services planning and integrated consulting capabilities to comprehensive construction management, general contracting, design-build, and facility management services— for clients across various markets. Founded in 1870 and still a privately held, family-owned company, Gilbane has more than 45 office locations worldwide and is fueled by a talented workforce of over 3,000 team members.

For more than 150 years, Gilbane has been a trusted, experienced, and innovative partner in building for clients around the globe. Gilbane delivers the highest quality work that stands the test of time, drawing from world-class expertise combined with local knowledge and relationships. Our breadth of expertise and quality is applied across diverse market sectors.","Gilbane is a leading global builder and real estate developer Building Company Development Company About Gilbane Innovative, solutions-driven,",gilbaneco.com,https://www.linkedin.com/company/gilbane-building-company,https://x.com/gilbanebuilding,https://www.facebook.com/GilbaneBuildingCompany,,PRIVATELY_HELD,0,,1870,100000000-499999999,16000000,DEBT_FINANCING,16000000,2022-12-19,799119c6-e4bf-d687-11e5-f05c5cd76869,No,,no separate store detected
Bon Appétit Management Company,4240,10001+,restaurants,"sustainable food, food service, local food, restaurants, vegetarian, humanely raised meat, cooking from scratch, corporate food service, healthy food, university food service","Bon Appétit Management Company (www.bamco.com) is an on-site restaurant company offering full food-service management to corporations, universities, and specialty venues. Based in Redwood City, CA, Bon Appétit has more than 1,000 cafés in 33 states, including ones for Google, Oracle, Emory University, and the Getty Center, as well as public restaurants such as STEM Kitchen & Garden and The Hangar in South San Francisco. Bon Appétit chefs cook from scratch, including their sauces, stocks, and soups. A pioneer in environmentally sound sourcing policies, Bon Appétit has developed programs addressing local purchasing, the overuse of antibiotics, sustainable seafood, the food and climate change connection, humanely raised meat and eggs, and farmworker welfare. We're proud to have received numerous awards for our work, from organizations including the International Association of Culinary Professionals, the James Beard Foundation, Chefs Collaborative, Natural Resources Defense Council, Seafood Choices Alliance, The Humane Society of the United States, and Food Alliance. 
￼","On-site restaurant company offering full food-service management to corporations, universities, and museums in 32 states. All Bon Appétit food is cooked from scratch",bamco.com,https://www.linkedin.com/company/bonappetitmgt,,,,PUBLIC_COMPANY,0,+1 704 328 7877,1987,100000000-499999999,,,,,1f1d8bb4-6a03-fa62-a427-a9318de3cee5,No,,no separate store detected
Southland Industries,4214,5001-10000,construction,"engineering, hvac, construction, plumbing, service & maintenance, process piping, energy services, project management, fire protection, controls & automation, repair & retrofit","As one of the nation's largest building systems experts, Southland Industries provides innovative, practical results for your engineering, construction, service, and energy needs. Optimizing each stage of the building lifecycle with our in-house expertise, we connect to your business strategy by delivering holistic solutions.","As an MEP building systems expert, Southland Industries provides integrated, full lifecycle solutions that optimize the design, construction, operation, and efficiency of buildings.",southlandind.com,https://www.linkedin.com/company/southland-industries,https://x.com/southlandind,https://www.facebook.com/southland-industries-156825886400,,PRIVATELY_HELD,0,,1949,100000000-499999999,,,,,aac0506d-5955-176b-a3ee-cdb294e63a90,No,,no separate store detected
Iyuno,4192,1001-5000,translation and localization,"subtitling, captioning, dubbing, audio description, access services, media services, creative post production, distribution, end-to-end services, machine assisted translation (mat)","Iyuno (iyuno.com) is the global media and entertainment industry’s leading localization service provider. As a trusted partner to the world’s most recognized entertainment studios, streaming platforms and creators, it offers end-to-end localization services – from dubbing, subtitling and access services to media management, transformation and distribution services – in over 100 languages for every type of content distribution platform. The company's 75-year collective legacy is unmatched in operational expertise, scale, capacity and breadth of services. Leveraging the best in breed creative and technical talent, state-of-the-art facilities and next generation technologies, the company now boasts the largest global footprint with 67 offices in 34 countries. The company’s scale and customer-centric approach is focused on its mission of connecting content, connecting people. For more information, follow @IyunoHQ and #WeAreIyuno across social platforms.","Iyuno is the worlds media localization provider of technology-driven end-to-end solutions for films, television, games, new media and corporate needs.",iyuno.com,https://www.linkedin.com/company/iyunohq,,,,PRIVATELY_HELD,0,+1 818 812 1213,1974,100000000-499999999,,,,,fb8b2478-a880-1ded-94af-087a56860eb1,No,,no separate store detected
USEPA,4187,10001+,environmental services,"waste regulation, site remediation, protecting human health and the environment, air and water quality, brownfields, environmental grants, epaorigin http://www.epa.gov/history/topics/epa/15c.htm, radiation protection, environmental radioactive material measurement","EPA was founded December 2, 1970, employs 17,000 people across the country & deals with United States environmental issues both domestically & abroad. President Richard Nixon proposed & Congress supported ""a strong, independent agency.""​ that viewed ""the environment as a whole.""​ The President's charge to the first EPA Administrator [a 38-year-old Assistant Attorney General named William Ruckelshaus] was to treat ""air pollution, water pollution and solid wastes as different forms of a single problem.""​ The main purpose of the reorganization giving birth to EPA was to introduce a ""broad systems approach [that]...would give unique direction to our war on pollution.""​  Ruckelshaus said that he & EPA were starting with ""no obligation to promote commerce or agriculture.""​ By promising to enforce ""reasonable standards of air quality,""​ Ruckelshaus positioned himself as the government advocate of environmental progress; not merely a mediator between industry & the public.  In fact, he envisioned for EPA a crucial role in the ""development of an environmental ethic""​ among businessmen & citizens alike.

EPA employees work at: HQ in Washington, DC, 10 regional offices [Boston, New York, Philadelphia, Atlanta, Chicago, Dallas, Kansas City, Denver, San Francisco, & Seattle] & more than two dozen labs & field offices across the 50 states & 6 territories. EPA staff is highly educated, motivated & technically trained. More than half are engineers, scientists, & policy analysts. Many are also legal, public affairs, financial, information management & computer specialists. Only NASA staff hold more advance degrees than do EPA staff.

EPA develops regulation & enforces [both civilly & criminally] statutes protecting human health & the environment. EPA promotes technical assistance & international coordination on environmental issues. EPA researches & sets standards for environmental programs & delegates those programs to states to assist in & perhaps one day take over EPA's mission.",Information regarding the revised definition of Waters of the United States,epa.gov,https://www.linkedin.com/company/usepa,,,,GOVERNMENT_AGENCY,0,+1 919 541 4767,1970,100000000-499999999,,,,,6beb917f-aafc-e4c4-cb22-7b88d8583f1f,No,,no separate store detected
"TEAM, Inc.",4184,5001-10000,industrial machinery manufacturing,"leak repair, valve repair, field machining, emissions control, hot taps/line stops, valve insertion, technical bolting, heat treating, nde/ndt, tank management, mechanical integrity, specialty welding, isolation test plugs, rope access, engineering/manufacuring","Team, Inc. is a leading industrial services company offering an array of specialized services related to the construction, maintenance, and monitoring of pressurized piping and associated systems. We serve customers in the refining, petrochemical, power, pipeline, and other heavy industrial industries with a level of service that goes above and beyond. With more than 220 U.S. and international locations, we are rapidly growing our global footprint across a wide range of industries - with service locations in five continents.","TEAM, Inc. empowers greater safety, reliability and operational efficiency through technology-enabled asset integrity management and performance solutions.",teaminc.com,https://www.linkedin.com/company/team-inc1,https://x.com/teamindustrial,https://www.facebook.com/TeamIndustrialServicesInc,,PUBLIC_COMPANY,0,+1 800 662 8326,1973,100000000-499999999,572400000,POST_IPO_EQUITY,75000000,2025-09-11,2bbc5e37-f291-a2be-93b9-d8a840c46ce4,No,,no separate store detected
The Chickasaw Nation,4168,10001+,government administration,,"The Chickasaw Nation is a federally recognized tribe of 82,000 citizens. Tribal government headquarters are located in Ada, Oklahoma. 

Bill Anoatubby is Governor of the Chickasaw Nation. Bill Anoatubby began work for the Chickasaw Nation in 1975 as health services director. A year later, he was asked to direct its finance department. In October 1978, he was promoted to the position of special assistant to the governor and controller. In 1979, he was elected as the tribe’s first Lt. Governor. Governor Anoatubby was elected to his first term as Governor in 1987. In his first term, Governor Anoatubby established goals of economic development and self-sufficiency for the Chickasaw Nation and its people.

Today, the Chickasaw Nation is well on the way to achieving those goals. In 1987, the tribe had about 250 employees. Today, the Chickasaw Nation employs nearly 13,500 people. The financial condition of the tribe has been improved tremendously. Funding for tribal operations has grown exponentially. Tribal assets have grown two-hundredfold. Governor Anoatubby is committed to meeting the needs of Chickasaw people through programs and services.

The Chickasaw Nation operates businesses in gaming, hospitality, gourmet chocolate, tourism, retail, health care, banking and financial services, manufacturing, energy, media and technology. A successful economic business plan and diversified business portfolio allow the Chickasaw Nation to offer more than 200 programs, services and outlets, which directly benefit Chickasaw families and their communities.

This page is owned and operated by Sovereign Communication Solutions, LLC., 2020 Lonnie Abbott Blvd., Ada, Oklahoma.",,chickasaw.net,https://www.linkedin.com/company/chickasaw-nation,https://x.com/chickasawnation,https://www.facebook.com/thechickasawnation,,GOVERNMENT_AGENCY,0,,1855,100000000-499999999,,,,,34bf8d01-f8de-cbd5-45b2-c554e62b90de,No,,no separate store detected
"SPX FLOW, Inc.",4165,1001-5000,industrial machinery manufacturing,"mixers, pumps, valves, separators, homogenizers, apv, ultra high temperature systems, heat exchangers, spray dryers, evaporators, food pumps, industrial pumps, industrial mixers, membrane filtration, heat exchangers, dairy processing, food manufacturing, food processing, consumer goods, marine pumps, impellers, power generation","SPX FLOW solves processing challenges, helping customers lower costs, increase uptime, save energy, reduce waste, and improve quality.

We manufacture and deliver high-value technology, service and support to leading nutrition, health, and industrial businesses around the world. From dairy processors and mixers to our state-of-the-art Innovation Centers, we collaborate with customers to develop and perfect their critical manufacturing processes. Our inventive pumps, values and systems make it easy to provide end-users with high quality products while cutting production costs. We support you, as you support them.  

With operations in more than 25 countries, we meet the varying needs of our diverse customer base to make life safer, healthier and more sustainable. To learn more, please visit spxflow.com",,spxflow.com,https://www.linkedin.com/company/spx-flow,https://x.com/SPXFlow,,,PRIVATELY_HELD,0,+1 704 752 4400,2015,100000000-499999999,,,,,df672966-2aa7-1365-9a3f-e0ac0a382629,No,,no separate store detected
California Department of Forestry and Fire Protection (CAL FIRE),4150,10001+,government administration,"fire protection, resource management, emergency response, wildland fire suppression, 911 dispatch, fire fighting, forestry, paramedic, administration, information technology, state fire marshal, aviation","The California Department of Forestry and Fire Protection (CAL FIRE) is California's fire department and resource management agency. The organization is comprised of nearly 14,000+ permanent and seasonal employees. The mission of the Department is to serve and safeguard the people and protect the property and resources of California.

CAL FIRE is an equal opportunity employer, providing equal opportunity to all regardless of race, color, creed, national origin, ancestry, sex, marital status, disability, religious or political affiliation, age or sexual orientation. CAL FIRE offers well-paying careers and opportunities for advancement.

When you join CAL FIRE, you join a family of employees that function as a team. You will build trust and friendship with your co-workers, as together you respond to emergencies and challenging situations. CAL FIRE provides employees with a variety of career choices and opportunities. We hope that you will consider a rewarding and challenging career with CAL FIRE!",,ca.gov,https://www.linkedin.com/company/calfirecareers,https://x.com/CAL_FIRE,https://www.facebook.com/CALFIRE,,GOVERNMENT_AGENCY,0,,1855,100000000-499999999,,,,,a17728ec-8944-20ac-4747-c34e58887765,No,,no separate store detected
Prime Inc.,4137,5001-10000,truck transportation,"refrigerated trucking, flatbed trucking, tanker trucking, intermodal trucking, transportation, cdl training, training, hopper","Since 1970, Prime Inc. has led the way as a premier carrier in North America.  With refrigerated, flatbed, tanker, intermodal, and hopper divisions, we're proud to deliver safe, reliable, and on-time services to our growing international clientele. 

Drive for Prime 
Looking for a rewarding career on the road? Join one of the best places for truck drivers in the country! At Prime, you not only earn a living but also enjoy the breathtaking views of America right outside your window. Whether you're new and need CDL training or are an experienced driver, there's a place for you in the Prime family. 

Work In-House
Behind each Prime driver is a fleet of in-house associates ensuring the safety, success, and reliability of our operations. We offer competitive incentive pay to cultivate a culture that our associates love and want to stay a part of. 

Join us at Prime Inc. and become a vital part of the team that keeps America moving.",Prime inc. is a freight transport and logistics trucking company driven by the best truck drivers in North America. Explore our one-of-a-kind company culture here!,primeinc.com,https://www.linkedin.com/company/prime-inc.,https://x.com/truckingjob,https://www.facebook.com/primeinctrucking,,PRIVATELY_HELD,0,,1970,100000000-499999999,,,,,0f88785b-92f8-ded1-a42e-166e555f9f05,No,,no separate store detected
CA Department of Corrections & Rehabilitation,4119,10001+,law enforcement,"human resources, corrections, business administration , legal, information technology, fiscal administration, plant operations, correctional officers, warden, vocational education, government, health and safety, construction, procurement, project management","Founded in 1885, the California Department of Corrections and Rehabilitation (CDCR) serves as one of the nation's largest, and most diverse correctional departments.  

Our mission is to facilitate the successful reintegration of the individuals in our care back to their communities equipped with the tools to be drug-free, healthy, and employable members of society by providing education, treatment, rehabilitative, and restorative justice programs, all in a safe and humane environment.

The California Department of Corrections and Rehabilitation (CDCR) and California Correctional Health Care Services (CCHCS) are committed to building and fostering a diverse workplace. We believe cultural diversity, backgrounds, experiences, perspectives, and unique identities should be honored, valued, and supported. We believe all staff should be empowered. CDCR/CCHCS are proud to foster inclusion and representation at all levels of both Departments.",ProudCity is a platform for cities. We believe cities should have the freedom to test-drive digital services privately and publicly before making a purchase commitment.,ca.gov,https://www.linkedin.com/company/california-department-of-corrections-and-rehabilitation,https://x.com/CACorrections,https://www.facebook.com/cacorrections,,GOVERNMENT_AGENCY,0,+1 916 324 7308,1885,100000000-499999999,,,,,00fd9fd5-917a-9768-6f52-1bf192433f33,No,,no separate store detected
7 Brew Coffee,4106,10001+,food and beverage services,"coffee, energy drinks, real estate, developement, marketing, qsr, drive thru, franchising, operations, customer service, kindness, beverages, hospitality","7 Brew was born from a desire to change drive-thru coffee into a fun, mind-blowing experience for everyone. We dreamed of serving premium coffee in record time and making new friends while we’re at it. The dream came alive with our first stand in Rogers, AR and our 7 original coffees. 
 
We take pride in serving specialty coffees, smoothies, chillers, teas, and our exclusive 7 Energy, a premium energy drink that can be infused with over 20,000 flavor combinations. 
 
7 Brew is so much more than just a coffee stand. It’s the concept of Cultivating Kindness and joy with every drink – through our service, speed, quality, energy and atmosphere. It’s contagious and it’s changing the drive-thru coffee industry. 
 
Visit www.7brew.com to learn more and follow us @7BrewCoffee on Instagram, Facebook, Twitter, and TikTok to stay updated on all things 7 Brew.",Visit 7 Brew for an elevated coffee drive-thru experience.,7brew.com,https://www.linkedin.com/company/7brewcoffee,,,,PRIVATELY_HELD,0,,2017,100000000-499999999,,,,,943bf0e1-b8ab-2f16-5ea5-7472581d969f,No,,no separate store detected
Zions Bancorporation,4099,10001+,banking,"sba lending, public finance advisory services, and agricultural finance.","Zions Bancorporation, N.A. is one of the nation's premier financial services companies with approximately $89 billion of total assets at December 31, 2024, and annual net revenue of $3.1 billion in 2024. Zions operates under local management teams and distinct brands in 11 western states: Arizona, California, Colorado, Idaho, Nevada, New Mexico, Oregon, Texas, Utah, Washington and Wyoming. The bank is a national leader in Small Business Administration lending and public finance advisory services, and has been recognized by Coalition Greenwich with 233 Excellence awards for small business and middle market banking over the past 15 years.

Zions Bancorporation’s common stock is traded on NASDAQ under the symbol ZION. The company is a member of the S&P 400 Mid-Cap and the NASDAQ Financial 100 Indices. The deposit insurance coverage for accounts at Zions Bancorporation, N.A. is the standard FDIC insurance limit for each account ownership category regardless of the Zions Bancorporation, N.A. division holding the account.",,zionsbancorporation.com,https://www.linkedin.com/company/zions-bancorporation,https://x.com/ZBCRecruiting,,,PUBLIC_COMPANY,0,,1873,100000000-499999999,1087900000,POST_IPO_DEBT,500000000,2025-08-11,e6109b5a-ccde-9916-1042-e76340b0508b,No,,no separate store detected
Marathon Oil Corporation,4000,1001-5000,oil and gas,"exploration, production","Marathon Oil is now part of ConocoPhillips, a global oil and gas company tasked with an important job - to safely find and deliver energy for the world. 

ConocoPhillips has completed its acquisition of Marathon Oil. “This acquisition of Marathon Oil is a perfect fit for ConocoPhillips, adding to our deep, durable and diverse portfolio while meeting our strict financial framework,” said Ryan Lance, chairman and chief executive officer. Learn more at https://bit.ly/4i2grZ5.  

At ConocoPhillips, we believe it is important to foster an environment where visitors can share ideas and questions with us and each other. We invite you to join us in the conversation by following a few simple guidelines: 
· Please contribute to the dialogue by keeping your comments relevant to the community and on topic. 
· Direct your comments at issues, rather than individuals. 
· Comments that are spam, profane or defamatory will be removed. 
· We reserve the right to moderate or delete comments without prior notice that are insulting, off-topic or obscene, in order to foster a relevant and respectful community. 
· ConocoPhillips supports LinkedIn's terms and conditions and related policies, and we expect visitors to our page to do the same. 

We look forward to hearing from you. We reserve the right to moderate comments in an appropriate manner.",Marathon Oil Corporation (MRO) is an independent energy company specializing in exploration and production. Learn how were innovating for the future.,marathonoil.com,https://www.linkedin.com/company/marathon-oil-corporation,https://x.com/marathonoil,,,PUBLIC_COMPANY,0,,1889,100000000-499999999,1200000000,POST_IPO_DEBT,1200000000,2024-03-26,0f5bed67-b5a2-ac7c-8c77-bc56ddb3bad1,No,,no separate store detected
Panasonic Avionics Corporation,3985,5001-10000,aviation and aerospace component manufacturing,in-flight entertainment and communications systems,"For 40 years, Panasonic Avionics has strengthened the connection between the world’s airlines and their passengers. We are recognized globally for our experience and leadership in product innovation and customization, system reliability, and customer care.
 
We collaborate with over 300 airline customers to develop inflight entertainment and communications (IFEC) solutions that are designed to meet their unique fleet, brand, operations, and business requirements, based on state-of-the-art technology, connectivity, and industry know-how. Every year, more than 2.7 billion passengers enjoy an amazing entertainment experience flying onboard Panasonic-equipped aircraft.",Lets reinvent the flying experience. We pioneered the inflight entertainment industry 40 years ago. And were reinventing it every day.,panasonic.aero,https://www.linkedin.com/company/panasonic-avionics-corporation,https://x.com/panasonicaero,https://www.facebook.com/lifeatpanasonicavionics,,PRIVATELY_HELD,0,,1979,100000000-499999999,,,,,b4160fc7-c37b-02d9-f855-b90b59b6efe4,No,,no separate store detected
World Kinect,3978,1001-5000,oil and gas,"energy management, energy consulting, sustainability, carbon management, price risk management, energy procurement, natural gas, electricity, biogas, lng, natural gas procurement, electricity procurement, invoice processing, budgeting, reporting, infrastructure, hedging, energy supply, solar, wind, carbon offsetting, carbon compliance, fuel, jet fuel, saf, lubricants, onsite fuel supply, emergency fuel planning, price risk management, fuel logistics, marine fuel, bunkering, fuel management, transport + delivery","Headquartered in Miami, Florida, World Kinect Corporation (NYSE: WKC) is a leading global energy management company, offering a broad suite of solutions across the energy product spectrum. In addition to our core energy and fuel offerings to customers in the transportation sector, we provide advisory services, sustainability and renewable energy solutions, as well as supply fulfillment for natural gas and power. We continue to focus on advancing the energy transition to lower carbon alternatives through expanding our portfolio of energy solutions and providing customers with greater access to sustainably sourced energy.

For more information, visit https://corp.worldkinect.com.",Introducing World Kinect Corporation: formerly World Fuel Services. Learn about our new parent company name and how were evolving as a reliable provider of sustainable energy solutions.,wfscorp.com,https://www.linkedin.com/company/world-kinect,,https://www.facebook.com/pg/wfscorpcareers,,PUBLIC_COMPANY,0,,1984,100000000-499999999,350000000,POST_IPO_DEBT,350000000,2023-06-21,fcade374-70ef-767e-42dc-c43946b65314,No,,no separate store detected
Applied Industrial Technologies,3856,5001-10000,wholesale,"bearings, power transmission, fluid power, industrial distribution, industrial supply, flow control, automation","Founded in 1923, Applied Industrial Technologies is a leading value-added distributor and technical solutions provider of industrial motion, fluid power, flow control, automation technologies, and related maintenance supplies. Our leading brands, specialized services, and comprehensive knowledge serve MRO and OEM end users in virtually all industrial markets through our multi-channel capabilities that provide choice, convenience, and expertise.

To learn more, visit www.Applied.com.",,applied.com,https://www.linkedin.com/company/appliedindustrialtechnologies-,,,,PUBLIC_COMPANY,0,+1 216 426 4753,,100000000-499999999,,,,,ab179679-e279-1126-48c8-62e9af70eb7b,No,,no separate store detected
Oil States,3819,1001-5000,oil and gas,"subsea pipelines & structures, marine cranes & winches, industrial clutches & brakes, high performance valve products, advanced welding deepwater technology, deepsea minerals, offshore wind, floating wind systems, custom elastomeric and composite molding services, drilling equipment inspection, maintenance, refurb, cem, drilling, intervention, and production riser systems, downhole perforating and completions technologies, decommissioning structural and p&a/well abandonment, high spec precision machining & cladding, advanced casing/conductor connectors with turnkey pipe fabrication, energy, energy technology","Access Energy Together - Engineering the Connections that Power the World.
 
At Oil States (www.oilstates.com), we believe energy access is a shared pursuit - built on collaboration, innovation, and trust. Our purpose is simple yet powerful: to connect the world’s energy safely, reliably, and sustainably.
 
For more than 80 years, Oil States has delivered engineered systems and services that advance offshore and onshore operations worldwide. From high-performance subsea connectors, risers, and intervention systems to well access, completion, and abandonment solutions, our technologies help operators maximize efficiency, reduce risk, and extend asset life across the entire well lifecycle.
 
As global energy needs evolve, Oil States continues to bridge established oil and gas operations with emerging frontiers such as offshore wind, carbon capture, and geothermal development. Through strategic regional manufacturing, local partnerships, and a commitment to technical excellence, we strengthen supply resilience and support energy security across the markets we serve.
 
Our people are the foundation of Access Energy Together - combining deep engineering expertise, local insight, and a spirit of partnership that drives meaningful progress for our customers and communities.
 
Together, we deliver solutions for energy access that keep the world moving.",A description here,oilstates.com,https://www.linkedin.com/company/oil-states,https://x.com/oilstatesind,,,PUBLIC_COMPANY,0,+1 817 548 4200,1942,100000000-499999999,,,,,5fedb66b-ba74-7f9f-bae3-8a9d47beb1b9,No,,no separate store detected
Murphy Oil Corporation,3734,501-1000,oil and gas,"oil and natural gas production, oil and natural gas exploration","Murphy Oil Corporation is a global independent oil and natural gas exploration and production company. The company’s diverse resource base includes offshore production in Canada and the Gulf of America, as well as North America onshore plays in the Eagle Ford Shale in the U.S., Kabob Duvernay and Tupper Montney in Canada. Additional information can be found on the company’s website at https://www.murphyoilcorp.com.",Murphy Oil Corporation is a global oil exploration & production company. Our North American onshore operation supports global offshore & exploration.,murphyoilcorp.com,https://www.linkedin.com/company/murphy-oil,,,,PUBLIC_COMPANY,0,,1950,100000000-499999999,600000000,POST_IPO_DEBT,600000000,2024-09-19,73bd7240-8da2-0d61-0ff6-d4a4a23483f1,No,,no separate store detected
